model,axis,slope,intercept,r_squared,p_value
GPT-5 mini,grammar,-6.816666666666674,6.1586666666666705,0.6295340632793872,0.0
GPT-5 mini,coherence,-4.77666666666667,7.652000000000001,0.47394828385257537,0.0
GPT-5 mini,information,-7.865555555555553,7.015111111111111,0.7760141816405199,0.0
GPT-5 mini,lexical,-6.383333333333337,6.80088888888889,0.638716254258767,0.0
Gemini 3 Flash,grammar,-6.814444444444445,7.285777777777778,0.7624787962084537,0.0
Gemini 3 Flash,coherence,-5.580000000000005,7.720444444444446,0.5805299515250689,0.0
Gemini 3 Flash,information,-7.054444444444448,8.025333333333336,0.7908461393098339,0.0
Gemini 3 Flash,lexical,-5.255555555555558,7.696444444444445,0.5981041406806694,0.0
